aarti_id,line_no,section,original,translit_roman,meaning_en,meaning_hi,meaning_mr,meaning_gu,meaning_pa,meaning_bn,meaning_ta,meaning_te,meaning_kn,meaning_ml,notes,original_true_script
A002,11,verse 1,सुख संपत्ति घर आवे,Sukh sampati ghar ave,Happiness and prosperity come to the home,सुख और सम्पत्ति घर में आती है,घरात सुख आणि समृद्धी येते,ઘરમાં સુખ અને સમૃદ્ધિ આવે છે,ਘਰ ਵਿੱਚ ਸੁਖ ਅਤੇ ਸਮ੍ਰਿੱਧੀ ਆਉਂਦੀ ਹੈ,গৃহে সুখ ও সমৃদ্ধি আসে,வீட்டில் இன்பமும் செழிப்பும் வருகிறது,"ఇంటికి సుఖము, సంపద వస్తాయి",ಮನೆಗೆ ಸುಖ ಮತ್ತು ಸಮೃದ್ಧಿ ಬರುತ್ತದೆ,വീട്ടിൽ സുഖവും സമൃദ്ധിയും വരുന്നു,,NA
A002,12,verse 1,कष्ट मिटे तन का,Kasht mite tan ka,And the body's suffering ends,और शरीर का कष्ट मिट जाता है,आणि शरीराचे कष्ट संपते,અને શરીરનું કષ્ટ સમાપ્ત થાય છે,ਅਤੇ ਸਰੀਰ ਦਾ ਕਸ਼ਟ ਖਤਮ ਹੁੰਦਾ ਹੈ,এবং দেহের কষ্ট শেষ হয়,மேலும் உடலின் துன்பம் முடிவடைகிறது,మరియు శరీర బాధ తొలగుతుంది,ಮತ್ತು ದೇಹದ ಕಷ್ಟ ಕೊನೆಗೊಳ್ಳುತ್ತದೆ,കൂടാതെ ശരീരത്തിന്റെ കഷ്ടം അവസാനിക്കുന്നു,,NA
A002,13,refrain,ॐ जय जगदीश हरे,Om jai Jagdish hare,"Om, victory to the Lord of the universe","ॐ, जगत के स्वामी की जय हो","ॐ, जगदीशाचा (विश्वाच्या स्वामीचा) विजय असो","ૐ, જગદીશ (વિશ્વના સ્વામી)નો જય","ਓਮ, ਜਗਦੀਸ਼ (ਸੰਸਾਰ ਦੇ ਸੁਆਮੀ) ਦੀ ਜੈ","ওঁ, জগদীশের (বিশ্বের প্রভুর) জয়","ஓம், அண்டத்தின் அதிபதிக்கு வெற்றி","ఓం, జగదీశునికి (విశ్వ ప్రభువుకు) జయము","ಓಂ, ಜಗದೀಶನಿಗೆ (ವಿಶ್ವದ ಒಡೆಯನಿಗೆ) ಜಯ","ഓം, ജഗദീശന് (പ്രപഞ്ചനാഥന്) വിജയം",,NA
A002,14,verse 2,मात पिता तुम मेरे,Mat pita tum mere,You are my mother and father,आप ही मेरे माता-पिता हैं,आपणच माझे माता-पिता आहात,આપ જ મારા માતા-પિતા છો,ਆਪ ਹੀ ਮੇਰੇ ਮਾਤਾ-ਪਿਤਾ ਹੋ,আপনিই আমার মাতা-পিতা,தாங்களே என் தாயும் தந்தையும்,మీరే నా తల్లిదండ్రులు,ತಾವೇ ನನ್ನ ತಾಯಿ-ತಂದೆ,അങ്ങുതന്നെ എന്റെ അമ്മയും അച്ഛനും,,NA
A002,15,verse 2,शरण गहूं मैं किसकी,Sharan gahoon main kiski,Whose shelter should I take,मैं किसकी शरण लूँ,मी कोणाची शरण घ्यावी,હું કોની શરણ લઉં,ਮੈਂ ਕਿਸ ਦੀ ਸ਼ਰਨ ਲਵਾਂ,আমি কার শরণ নেব,நான் யாருடைய அடைக்கலம் புகுவேன்,నేను ఎవరి శరణు పొందను,ನಾನು ಯಾರ ಶರಣು ಹೊಂದಲಿ,ഞാൻ ആരുടെ ശരണം തേടും,,NA
A002,16,verse 2,स्वामी शरण गहूं मैं किसकी,Swami sharan gahoon main kiski,"O Master, whose shelter should I take","हे स्वामी, मैं किसकी शरण लूँ","हे स्वामी, मी कोणाची शरण घ्यावी","હે સ્વામી, હું કોની શરણ લઉં","ਹੇ ਸੁਆਮੀ, ਮੈਂ ਕਿਸ ਦੀ ਸ਼ਰਨ ਲਵਾਂ","হে স্বামী, আমি কার শরণ নেব","ஹே ஸ்வாமீ, நான் யாருடைய அடைக்கலம் புகுவேன்","ఓ స్వామీ, నేను ఎవరి శరణు పొందను","ಓ ಸ್ವಾಮೀ, ನಾನು ಯಾರ ಶರಣು ಹೊಂದಲಿ","ഹേ സ്വാമീ, ഞാൻ ആരുടെ ശരണം തേടും",,NA
A002,17,verse 2,तुम बिन और न दूजा,Tum bin aur na dooja,Without you there is no other,आपके बिना और कोई नहीं,आपल्याशिवाय दुसरे कोणी नाही,આપ વિના બીજું કોઈ નથી,ਆਪ ਤੋਂ ਬਿਨਾਂ ਹੋਰ ਕੋਈ ਨਹੀਂ,আপনি ছাড়া আর কেউ নেই,தாங்கள் இன்றி வேறு எவரும் இல்லை,మీరు తప్ప మరొకరు లేరు,ತಾವಿಲ್ಲದೆ ಬೇರೆ ಯಾರೂ ಇಲ್ಲ,അങ്ങല്ലാതെ മറ്റാരുമില്ല,,NA
A002,18,verse 2,तुम बिन और न दूजा,Tum bin aur na dooja,Without you there is no other,आपके बिना और कोई नहीं,आपल्याशिवाय दुसरे कोणी नाही,આપ વિના બીજું કોઈ નથી,ਆਪ ਤੋਂ ਬਿਨਾਂ ਹੋਰ ਕੋਈ ਨਹੀਂ,আপনি ছাড়া আর কেউ নেই,தாங்கள் இன்றி வேறு எவரும் இல்லை,మీరు తప్ప మరొకరు లేరు,ತಾವಿಲ್ಲದೆ ಬೇರೆ ಯಾರೂ ಇಲ್ಲ,അങ്ങല്ലാതെ മറ്റാരുമില്ല,,NA
A002,19,verse 2,आस करूं मैं जिसकी,Aas karoon main jiski,In whom I place my hope,जिससे मैं आशा रखूँ,ज्याच्यावर मी आशा ठेवावी,જેના પર હું આશા રાખું,ਜਿਸ 'ਤੇ ਮੈਂ ਆਸ ਰੱਖਾਂ,যাঁর উপর আমি আশা রাখি,யாரிடம் நான் நம்பிக்கை வைப்பேன்,ఎవరిపై నేను ఆశ ఉంచను,ಯಾರ ಮೇಲೆ ನಾನು ಭರವಸೆ ಇಡಲಿ,ആരിൽ ഞാൻ പ്രതീക്ഷയർപ്പിക്കും,,NA
A002,20,refrain,ॐ जय जगदीश हरे,Om jai Jagdish hare,"Om, victory to the Lord of the universe","ॐ, जगत के स्वामी की जय हो","ॐ, जगदीशाचा (विश्वाच्या स्वामीचा) विजय असो","ૐ, જગદીશ (વિશ્વના સ્વામી)નો જય","ਓਮ, ਜਗਦੀਸ਼ (ਸੰਸਾਰ ਦੇ ਸੁਆਮੀ) ਦੀ ਜੈ","ওঁ, জগদীশের (বিশ্বের প্রভুর) জয়","ஓம், அண்டத்தின் அதிபதிக்கு வெற்றி","ఓం, జగదీశునికి (విశ్వ ప్రభువుకు) జయము","ಓಂ, ಜಗದೀಶನಿಗೆ (ವಿಶ್ವದ ಒಡೆಯನಿಗೆ) ಜಯ","ഓം, ജഗദീശന് (പ്രപഞ്ചനാഥന്) വിജയം",,NA
A002,21,verse 3,तुम पूरण परमात्मा,Tum pooran parmatma,You are the perfect Supreme Soul,आप पूर्ण परमात्मा हैं,आपण पूर्ण परमात्मा आहात,આપ પૂર્ણ પરમાત્મા છો,ਆਪ ਪੂਰਨ ਪਰਮਾਤਮਾ ਹੋ,আপনি পূর্ণ পরমাত্মা,தாங்கள் பரிபூரண பரமாத்மா,మీరు పరిపూర్ణ పరమాత్మ,ತಾವು ಪರಿಪೂರ್ಣ ಪರಮಾತ್ಮ,അങ്ങ് പരിപൂർണ പരമാത്മാവ്,,NA
A002,22,verse 3,तुम अन्तर्यामी,Tum antaryami,You are the knower of all hearts,आप अन्तर्यामी हैं,आपण अंतर्यामी आहात,આપ અંતર્યામી છો,ਆਪ ਅੰਤਰਯਾਮੀ ਹੋ,আপনি অন্তর্যামী,தாங்கள் அனைத்து உள்ளங்களையும் அறிபவர்,మీరు అంతర్యామి,ತಾವು ಅಂತರ್ಯಾಮಿ,അങ്ങ് അന്തര്യാമി,,NA
A002,23,verse 3,स्वामी तुम अन्तर्यामी,Swami tum antaryami,"O Master, you are the knower of all hearts","हे स्वामी, आप अन्तर्यामी हैं","हे स्वामी, आपण अंतर्यामी आहात","હે સ્વામી, આપ અંતર્યામી છો","ਹੇ ਸੁਆਮੀ, ਆਪ ਅੰਤਰਯਾਮੀ ਹੋ","হে স্বামী, আপনি অন্তর্যামী","ஹே ஸ்வாமீ, தாங்கள் அனைத்து உள்ளங்களையும் அறிபவர்","ఓ స్వామీ, మీరు అంతర్యామి","ಓ ಸ್ವಾಮೀ, ತಾವು ಅಂತರ್ಯಾಮಿ","ഹേ സ്വാമീ, അങ്ങ് അന്തര്യാമി",,NA
A002,24,verse 3,पारब्रह्म परमेश्वर,Parbrahma parameshwar,"Supreme Brahman, supreme God",पारब्रह्म परमेश्वर,"पारब्रह्म, परमेश्वर","પરબ્રહ્મ, પરમેશ્વર","ਪਰਬ੍ਰਹਮ, ਪਰਮੇਸ਼ਵਰ","পরব্রহ্ম, পরমেশ্বর","பரபிரம்மம், பரமேஸ்வரர்","పరబ్రహ్మ, పరమేశ్వరుడు","ಪರಬ್ರಹ್ಮ, ಪರಮೇಶ್ವರ","പരബ്രഹ്മം, പരമേശ്വരൻ",,NA
A002,25,verse 3,पारब्रह्म परमेश्वर,Parbrahma parameshwar,"Supreme Brahman, supreme God",पारब्रह्म परमेश्वर,"पारब्रह्म, परमेश्वर","પરબ્રહ્મ, પરમેશ્વર","ਪਰਬ੍ਰਹਮ, ਪਰਮੇਸ਼ਵਰ","পরব্রহ্ম, পরমেশ্বর","பரபிரம்மம், பரமேஸ்வரர்","పరబ్రహ్మ, పరమేశ్వరుడు","ಪರಬ್ರಹ್ಮ, ಪರಮೇಶ್ವರ","പരബ്രഹ്മം, പരമേശ്വരൻ",,NA
A002,26,verse 3,तुम सबके स्वामी,Tum sabke swami,You are the master of all,आप सबके स्वामी हैं,आपण सर्वांचे स्वामी आहात,આપ સૌના સ્વામી છો,ਆਪ ਸਭ ਦੇ ਸੁਆਮੀ ਹੋ,আপনি সকলের স্বামী,தாங்கள் அனைவரின் தலைவர்,మీరు అందరికీ స్వామి,ತಾವು ಎಲ್ಲರ ಸ್ವಾಮಿ,അങ്ങ് എല്ലാവരുടെയും സ്വാമി,,NA
A002,27,refrain,ॐ जय जगदीश हरे,Om jai Jagdish hare,"Om, victory to the Lord of the universe","ॐ, जगत के स्वामी की जय हो","ॐ, जगदीशाचा (विश्वाच्या स्वामीचा) विजय असो","ૐ, જગદીશ (વિશ્વના સ્વામી)નો જય","ਓਮ, ਜਗਦੀਸ਼ (ਸੰਸਾਰ ਦੇ ਸੁਆਮੀ) ਦੀ ਜੈ","ওঁ, জগদীশের (বিশ্বের প্রভুর) জয়","ஓம், அண்டத்தின் அதிபதிக்கு வெற்றி","ఓం, జగదీశునికి (విశ్వ ప్రభువుకు) జయము","ಓಂ, ಜಗದೀಶನಿಗೆ (ವಿಶ್ವದ ಒಡೆಯನಿಗೆ) ಜಯ","ഓം, ജഗദീശന് (പ്രപഞ്ചനാഥന്) വിജയം",,NA
A002,28,verse 4,तुम करुणा के सागर,Tum karuna ke sagar,You are the ocean of compassion,आप करुणा के सागर हैं,आपण करुणेचे सागर आहात,આપ કરુણાના સાગર છો,ਆਪ ਕਰੁਣਾ ਦੇ ਸਾਗਰ ਹੋ,আপনি করুণার সাগর,தாங்கள் கருணைக் கடல்,మీరు కరుణా సాగరులు,ತಾವು ಕರುಣಾ ಸಾಗರ,അങ്ങ് കരുണയുടെ സാഗരം,,NA
A002,29,verse 4,तुम पालनकर्ता,Tum palan karta,You are the sustainer,आप पालनकर्ता हैं,आपण पालनकर्ते आहात,આપ પાલનકર્તા છો,ਆਪ ਪਾਲਣਹਾਰ ਹੋ,আপনি পালনকর্তা,தாங்கள் காப்பவர்,మీరు పోషకులు,ತಾವು ಪಾಲಕ,അങ്ങ് പാലകൻ,,NA
A002,30,verse 4,स्वामी तुम पालनकर्ता,Swami tum palan karta,"O Master, you are the sustainer","हे स्वामी, आप पालनकर्ता हैं","हे स्वामी, आपण पालनकर्ते आहात","હે સ્વામી, આપ પાલનકર્તા છો","ਹੇ ਸੁਆਮੀ, ਆਪ ਪਾਲਣਹਾਰ ਹੋ","হে স্বামী, আপনি পালনকর্তা","ஹே ஸ்வாமீ, தாங்கள் காப்பவர்","ఓ స్వామీ, మీరు పోషకులు","ಓ ಸ್ವಾಮೀ, ತಾವು ಪಾಲಕ","ഹേ സ്വാമീ, അങ്ങ് പാലകൻ",,NA
A002,31,verse 4,मैं मूरख खल कामी,Main moorakh khal kami,"I am foolish, wicked and full of desire","मैं मूर्ख, दुष्ट और कामी हूँ","मी मूर्ख, दुष्ट आणि कामनांनी भरलेला आहे","હું મૂર્ખ, દુષ્ટ અને કામનાઓથી ભરેલો છું","ਮੈਂ ਮੂਰਖ, ਦੁਸ਼ਟ ਅਤੇ ਕਾਮਨਾਵਾਂ ਨਾਲ ਭਰਿਆ ਹਾਂ","আমি মূর্খ, দুষ্ট ও কামনায় পূর্ণ","நான் மூடன், தீயவன், ஆசை நிறைந்தவன்","నేను మూర్ఖుడను, దుష్టుడను, కోరికలతో నిండినవాడను","ನಾನು ಮೂರ್ಖ, ದುಷ್ಟ ಮತ್ತು ಆಸೆಗಳಿಂದ ತುಂಬಿದವನು",ഞാൻ വിഡ്ഢിയും ദുഷ്ടനും ആഗ്രഹങ്ങൾ നിറഞ്ഞവനും,,NA
A002,32,verse 4,मैं सेवक तुम स्वामी,Main sevak tum swami,"I am the servant, you are the master","मैं सेवक हूँ, आप स्वामी हैं","मी सेवक आहे, आपण स्वामी आहात","હું સેવક છું, આપ સ્વામી છો","ਮੈਂ ਸੇਵਕ ਹਾਂ, ਆਪ ਸੁਆਮੀ ਹੋ","আমি সেবক, আপনি স্বামী","நான் அடியவன், தாங்கள் தலைவர்","నేను సేవకుడను, మీరు స్వామి","ನಾನು ಸೇವಕ, ತಾವು ಸ್ವಾಮಿ","ഞാൻ സേവകൻ, അങ്ങ് സ്വാമി",,NA
A002,33,verse 4,कृपा करो भर्ता,Kripa karo bharta,"Show your grace, O sustainer","कृपा कीजिए, हे भर्ता","कृपा करा, हे भर्ता","કૃપા કરો, હે ભર્તા","ਕਿਰਪਾ ਕਰੋ, ਹੇ ਭਰਤਾ","কৃপা করুন, হে ভর্তা","கருணை புரியும், ஹே காப்பாளரே","కృప చూపండి, ఓ పోషకా","ಕೃಪೆ ತೋರಿ, ಓ ಪಾಲಕ","കൃപ ചൊരിയണേ, ഹേ പാലകാ",,NA
A002,34,refrain,ॐ जय जगदीश हरे,Om jai Jagdish hare,"Om, victory to the Lord of the universe","ॐ, जगत के स्वामी की जय हो","ॐ, जगदीशाचा (विश्वाच्या स्वामीचा) विजय असो","ૐ, જગદીશ (વિશ્વના સ્વામી)નો જય","ਓਮ, ਜਗਦੀਸ਼ (ਸੰਸਾਰ ਦੇ ਸੁਆਮੀ) ਦੀ ਜੈ","ওঁ, জগদীশের (বিশ্বের প্রভুর) জয়","ஓம், அண்டத்தின் அதிபதிக்கு வெற்றி","ఓం, జగదీశునికి (విశ్వ ప్రభువుకు) జయము","ಓಂ, ಜಗದೀಶನಿಗೆ (ವಿಶ್ವದ ಒಡೆಯನಿಗೆ) ಜಯ","ഓം, ജഗദീശന് (പ്രപഞ്ചനാഥന്) വിജയം",,NA
A002,35,verse 5,तुम हो एक अगोचर,Tum ho ek agochar,You are the one beyond perception,आप एकमात्र अगोचर हैं,आपण एकमात्र अगोचर आहात,આપ એકમાત્ર અગોચર છો,ਆਪ ਇੱਕੋ-ਇੱਕ ਅਗੋਚਰ ਹੋ,আপনি একমাত্র অগোচর,தாங்கள் புலனுக்கு எட்டாத ஒருவர்,మీరు ఇంద్రియాలకు అందని ఏకైకులు,ತಾವು ಇಂದ್ರಿಯಗಳಿಗೆ ನಿಲುಕದ ಏಕೈಕ,അങ്ങ് ഇന്ദ്രിയങ്ങൾക്ക് അതീതനായ ഏകൻ,,NA
A002,36,verse 5,सबके प्राणपति,Sabke pran pati,Lord of the life of all,सबके प्राणों के स्वामी,सर्वांच्या प्राणांचे स्वामी,સૌના પ્રાણના સ્વામી,ਸਭ ਦੇ ਪ੍ਰਾਣਾਂ ਦੇ ਸੁਆਮੀ,সকলের প্রাণের স্বামী,அனைவரின் உயிர்க்குத் தலைவர்,అందరి ప్రాణాలకు ప్రభువు,ಎಲ್ಲರ ಪ್ರಾಣಗಳ ಒಡೆಯ,എല്ലാവരുടെയും ജീവന്റെ നാഥൻ,,NA
A002,37,verse 5,स्वामी सबके प्राणपति,Swami sabke pran pati,"O Master, lord of the life of all","हे स्वामी, सबके प्राणों के स्वामी","हे स्वामी, सर्वांच्या प्राणांचे स्वामी","હે સ્વામી, સૌના પ્રાણના સ્વામી","ਹੇ ਸੁਆਮੀ, ਸਭ ਦੇ ਪ੍ਰਾਣਾਂ ਦੇ ਸੁਆਮੀ","হে স্বামী, সকলের প্রাণের স্বামী","ஹே ஸ்வாமீ, அனைவரின் உயிர்க்குத் தலைவர்","ఓ స్వామీ, అందరి ప్రాణాలకు ప్రభువు","ಓ ಸ್ವಾಮೀ, ಎಲ್ಲರ ಪ್ರಾಣಗಳ ಒಡೆಯ","ഹേ സ്വാമീ, എല്ലാവരുടെയും ജീവന്റെ നാഥൻ",,NA
A002,38,verse 5,किस विधि मिलूं दयामय,Kis vidhi miloon dayamay,"How shall I meet you, O compassionate one","किस प्रकार मैं आपसे मिलूँ, हे दयामय","मी आपल्याला कसे भेटू, हे दयाळू","હું આપને કેવી રીતે મળું, હે દયાળુ","ਮੈਂ ਆਪ ਨੂੰ ਕਿਵੇਂ ਮਿਲਾਂ, ਹੇ ਦਯਾਲੂ","আমি আপনাকে কীভাবে পাব, হে দয়াময়","நான் தங்களை எவ்வாறு அடைவேன், ஹே கருணையாளரே","నేను మిమ్మల్ని ఎలా చేరుకోను, ఓ దయామయా","ನಾನು ತಮ್ಮನ್ನು ಹೇಗೆ ಸೇರಲಿ, ಓ ದಯಾಮಯ","ഞാൻ അങ്ങയെ എങ്ങനെ ചേരും, ഹേ ദയാമയാ",,NA
A002,39,verse 5,किस विधि मिलूं दयामय,Kis vidhi miloon dayamay,"How shall I meet you, O compassionate one","किस प्रकार मैं आपसे मिलूँ, हे दयामय","मी आपल्याला कसे भेटू, हे दयाळू","હું આપને કેવી રીતે મળું, હે દયાળુ","ਮੈਂ ਆਪ ਨੂੰ ਕਿਵੇਂ ਮਿਲਾਂ, ਹੇ ਦਯਾਲੂ","আমি আপনাকে কীভাবে পাব, হে দয়াময়","நான் தங்களை எவ்வாறு அடைவேன், ஹே கருணையாளரே","నేను మిమ్మల్ని ఎలా చేరుకోను, ఓ దయామయా","ನಾನು ತಮ್ಮನ್ನು ಹೇಗೆ ಸೇರಲಿ, ಓ ದಯಾಮಯ","ഞാൻ അങ്ങയെ എങ്ങനെ ചേരും, ഹേ ദയാമയാ",,NA
A002,40,verse 5,तुमको मैं कुमति,Tumko main kumati,I am of poor understanding before you,आपके सामने मैं कुबुद्धि हूँ,आपल्यापुढे मी अल्पबुद्धी आहे,આપની સમક્ષ હું અલ્પબુદ્ધિ છું,ਆਪ ਦੇ ਸਾਹਮਣੇ ਮੈਂ ਅਲਪ-ਬੁੱਧੀ ਹਾਂ,আপনার সামনে আমি স্বল্পবুদ্ধি,தங்கள் முன் நான் அற்பப் புத்தியுடையவன்,మీ ముందు నేను అల్పబుద్ధిని,ತಮ್ಮ ಮುಂದೆ ನಾನು ಅಲ್ಪಬುದ್ಧಿ,അങ്ങയുടെ മുന്നിൽ ഞാൻ അല്പബുദ്ധി,,NA
A002,41,refrain,ॐ जय जगदीश हरे,Om jai Jagdish hare,"Om, victory to the Lord of the universe","ॐ, जगत के स्वामी की जय हो","ॐ, जगदीशाचा (विश्वाच्या स्वामीचा) विजय असो","ૐ, જગદીશ (વિશ્વના સ્વામી)નો જય","ਓਮ, ਜਗਦੀਸ਼ (ਸੰਸਾਰ ਦੇ ਸੁਆਮੀ) ਦੀ ਜੈ","ওঁ, জগদীশের (বিশ্বের প্রভুর) জয়","ஓம், அண்டத்தின் அதிபதிக்கு வெற்றி","ఓం, జగదీశునికి (విశ్వ ప్రభువుకు) జయము","ಓಂ, ಜಗದೀಶನಿಗೆ (ವಿಶ್ವದ ಒಡೆಯನಿಗೆ) ಜಯ","ഓം, ജഗദീശന് (പ്രപഞ്ചനാഥന്) വിജയം",,NA
