id,title,deity,deity_key,deity_group,type,tradition_region,priority,copyright_status,original_sourced,transliteration_done,meaning_en_done,meaning_hi_done,reviewed,source_url,notes,copyright_risk,author,period,origin_note
A011,Aarti Shani Dev Ki,Shani Dev,shani,navagraha,Aarti,Pan-India,1,Public domain (anonymous traditional; Vishwanath chhap is generic pen-name; no modern author identified),yes,yes,yes,yes,no,drikpanchang.com/lyrics/aarti/lord-shanidev/shri-shanidev-aarti.html + hindi.webdunia.com/aarti-chalisa/shani-dev-aarti-118051400024_1.html,2-source cross-check done; PD-likely confirmed; line 3.1 kirita/krita variant noted; 5 verses | verify captured text is the traditional/PD version,PD-likely,,,
A012,Aarti Sai Baba (Shirdi),Shirdi Sai Baba,sai-baba,saint-guru,Aarti,Maharashtra / Pan-India,1,Public domain (Madhavrao Aadkar ~1903-04; >120 years old; no living rights claimant identified),yes,yes,no,no,no,freebhajans.com/aarati-sai-baba-saukya-datara-jeeva/ + kavitakosh.org,"Marathi original Saukhya Datara Jeeva attrib. Madhavrao Aadkar ~early 1900s (PD-likely); 7 verses; confirm captured text matches Aadkar, not later Sansthan-collection additions, before publishing",PD-likely,,,
A013,Satyanarayan Bhagwan Ki Aarti,Vishnu (Satyanarayan),vishnu,vishnu,Aarti,Pan-India,1,Public domain (traditional; colophon Shivanand),yes,yes,yes,yes,no,bhaktibharat + drikpanchang (2-source cross-check),meanings our own; closing line 26 has two traditional endings - confirm preferred,PD-clear,,,
A014,Aarti Kali Maa Ki,Kali,kali,shakti,Aarti,Pan-India / Bengal,2,Public domain (anonymous traditional),yes,yes,yes,yes,no,bhaktibharat.com/aarti/maa-durga-maa-kali + bhajansangam.in/ambe-tu-hai-jagdambe-kali/,"Ambe tu hai Jagadambe Kali; ubiquitous anonymous devotional aarti but lyric style reads modern - authorship unverified, confirm before commercial publishing; intimate tu-register kept; all 9 languages done",PD-likely,,,
A015,Aarti Vaishno Devi,Vaishno Devi,vaishno-devi,shakti,Aarti,North India,2,Verify (Shrine Board text may be modern/institutional; popular versions tied to 20th-c recordings),no,no,no,no,no,maavaishnodevi.org/blog/aarti,REVIEW-version: hold until clearly PD text confirmed from open source,REVIEW-version,,,
A016,Aarti Vindhyavasini Devi,Vindhyavasini,vindhyavasini,shakti,Aarti,North India,2,Public domain (traditional),yes,yes,yes,yes,no,bhaktibharat.com/aarti/sun-meri-devi-parvat-vasani + bhaktibhawna.com/sun-meri-devi-parvat-vasini-lyrics/,Opening Sun meri devi parvat-vasini confirmed; verse wording CONFIRM WORDING pending page-level fetch,PD-clear,,,
A017,Annapurna Mata Aarti,Annapurna,annapurna,shakti,Aarti,Pan-India,2,Public domain (traditional),yes,yes,yes,yes,no,drikpanchang.com/lyrics/aarti/annapurna-mata/annapurna-mata-aarti.html + hindunidhi.com/annapurna-aarti-hindi/,Om jai annapurna mata; verses 3-5 and closing doha CONFIRM WORDING pending page-level verification,PD-clear,,,
A018,Gayatri Mata Aarti,Gayatri,gayatri,shakti,Aarti,Pan-India,2,Public domain (Shriram Sharma Acharya 1911-1990; explicitly renounced copyright; AWGP distributes freely),yes,yes,yes,yes,no,geocities.ws/brijesh/amritvachan/folders-special/aarati-prarthana-yanmandalam.html + literature.awgp.org,Opens Jayati jay Gayatri Mata (NOT Om jai Gayatri); 10 verses; AWGP canonical text; DrikPanchang adds 4-line preamble not in AWGP source,PD-likely,,,
A019,Aarti Radha Rani Ki,Radha,radha,vishnu,Aarti,Braj,2,Public domain (traditional),yes,yes,yes,yes,no,bhaktibharat.com/aarti/radha-rani-ji-ki-aarti + bhagvadbhakti.com/radha-aarti-lyircs-aarti-shri-vrishbhanu-suta-ki/,Aarti Shri Vrishbhanu Suta Ki; verse 3 lines 8-9 minor CONFIRM WORDING; alternate aarti Radha rani teri aarti gaoon also noted,PD-clear,,,
A020,Yei O Vitthala (Vitthal Aarti),Vitthal / Vithoba,vitthala,vishnu,Aarti,Maharashtra,2,Public domain (attrib. Namdev / Sant Varkari tradition ~13-14th c),yes,yes,yes,yes,no,hindujagruti.org/hinduism-for-kids-marathi/554.html + marathimati.com/2011/01/yei-ho-viththale-viththalachi-aarti.html,Marathi Varkari aarti; Yei ho Vithale maze mauli ye; 3 verses; all lines confirmed across multiple sources,PD-clear,,,
A021,Aarti Jagannath Ji Ki,Jagannath,jagannath,vishnu,Aarti,Odisha,2,Public domain (traditional),yes,yes,yes,yes,no,bhaktibharat.com/aarti/shri-jagganath-aarti + bhaktilyrics.com (search-confirmed),EDITORIAL FLAG: only Sanskrit stotra Chaturbhuj Jagannath found on major Hindi sites; popular Hindi Om-Jai-format sung aarti not identified - confirm which version you want,PD-clear,,,
A022,Aarti Tirupati Balaji,Venkateswara / Balaji,venkateswara,vishnu,Aarti,South India,2,Verify (Sanskrit/Telugu TTD liturgy is PD-clear; popular Hindi aarti is modern composition of uncertain authorship),no,no,no,no,no,tirumala.org/TraditionalBajans.aspx,REVIEW-version: source from Sanskrit/Telugu PD liturgy if possible; Hindi aarti modern - hold,REVIEW-version,,,
A023,Khatu Shyam Ji Aarti,Khatu Shyam,khatu-shyam,vishnu,Aarti,Rajasthan,2,Verify (modern composition; attrib. Dipankar Saha or Shyam Singh Chouhan; post-1970s),no,no,no,no,no,devshoppe.com/blogs/articles/aum-jai-shri-shyam-hare-shri-khatu-shyam-ji-aarti,REVIEW-recent: no traditional pre-20th-c text identified; do not source lyrics until cleared,REVIEW-recent,,,
A024,Banke Bihari Aarti,Krishna (Banke Bihari),krishna,vishnu,Aarti,Braj / Vrindavan,2,Public domain (traditional),yes,yes,yes,yes,no,drikpanchang.com/lyrics/aarti/lord-krishna/shri-banke-bihari-aarti.html + thedivineindia.com/hi/banke-bihari-aarti.html,Shri Banke Bihari teri aarti gaoon; 5 verses; minor word variants between sources noted,PD-clear,,,
A025,Kartikeya / Murugan Aarti,Kartikeya,kartikeya,kartikeya,Aarti,South India,2,Public domain (traditional),yes,yes,yes,yes,no,bhaktibharat.com/aarti/kartikeya-ji-ki-aarti + hindi.webdunia.com/aarti-chalisa/kartikeya-aarti-119101800067_1.html,Telugu-origin pan-deity aarti Jai Jai Aarti Venu Gopala; Kartikeya invoked in stanza 8; no standalone Hindi Om-Jai-format Kartikeya aarti found,PD-clear,,,
A026,Aarti Datta (Dattatreya),Dattatreya,dattatreya,saint-guru,Aarti,Maharashtra,2,Public domain (attrib. Sant Eknath ~16th c; bhanita Eka Janardani),yes,yes,yes,yes,no,mr.wikisource.org/wiki/दत्ताची_आरती + amit.chakradeo.net/religious-stotra/paravachaa/datta-aaratee/,Marathi; Jay dev jay dev jay Shri Gurudatta; 4 verses; Wikisource used as canonical; orthographic variants documented,PD-clear,,,
A027,Ganga Aarti (Har Har Gange),Ganga,ganga,river,Aarti,North India,2,Public domain (traditional),yes,yes,yes,yes,no,user-provided full text,full text supplied by user; meanings our own; all 9 languages done,PD-clear,,,
A028,Yamuna Aarti,Yamuna,yamuna,river,Aarti,Braj,2,Public domain (traditional),yes,yes,yes,yes,no,knowledgegallery.in/yamuna-ji-ki-aarti/ + sarlatalks.com/yamuna-mata-ki-aarti/,Om jai Yamuna Mata; 6 verses; refrain variant Hari vs Shri noted; verse 4 line 1 CONFIRM WORDING,PD-clear,,,
A029,Narmada Aarti,Narmada,narmada,river,Aarti,Central India,2,Public domain (traditional),yes,yes,yes,yes,no,drikpanchang.com/lyrics/aarti/narmada-mata/narmada-mata-aarti.html + alijahanuman.org/ma-narmadaji-ki-aarti-hindi-lyrics/,Om jai jagadanandi; 5 verses; closing Shivanand Swami bhanita; line 14 and 20 minor variants noted,PD-clear,,,
A030,Tulsi Mata Aarti,Tulsi,tulsi,vishnu,Aarti,Pan-India,2,Public domain (traditional),yes,yes,yes,yes,no,hindi.webdunia.com/aarti-chalisa/aarti-jai-tulsi-mata-120112300092_1.html + desibhajan.com/tulsi-mata-ki-aarti-lyrics/,Jai jai Tulsi Mata; 5 verses; two recensions with minor wording differences; verse 1 line 2 CONFIRM WORDING (ruj vs raj),PD-clear,,,
A031,Surya Dev Aarti,Surya,surya,surya,Aarti,Pan-India,2,Public domain (traditional),yes,yes,yes,yes,no,hindi.webdunia.com/aarti-chalisa/lord-sun-aarti-118111200046_1.html + bhaktibharat.com/aarti/shri-surya-dev-om-jai-surya-bhagwan,Om jai Surya Bhagwan; 7 verses; highly consistent between both sources; minor orthographic variant Om vs Oom,PD-clear,,,
A032,Navagraha Aarti,Navagraha,navagraha,navagraha,Aarti,Pan-India,2,Public domain (traditional),yes,yes,yes,yes,no,missionkuldevi.in/2017/03/shri-navgrah-aarti-lyrics-hindi-english/ + knowledgegallery.in/shri-navgrah-aarti/,Aarti Shri Navgrahon ki kijain; one couplet per planet; Budh (Mercury) vs Buddh (error) flag - use Budh,PD-clear,,,
A033,Aarti Jhulelal,Jhulelal,jhulelal,folk,Aarti,Sindhi,3,Verify (Sindhi community composition standardised post-Partition ~1950; modern community ownership uncertain),no,no,no,no,no,en.wikipedia.org/wiki/Jhulelal_(Hinduism),REVIEW-version: ancient Jhulelal hagiography is PD; specific post-Partition aarti text ownership unclear - hold,REVIEW-version,,,
A034,Ayyappa Aarti / Harivarasanam,Ayyappa,ayyappa,ayyappa,Aarti,South India,3,Verify (text attrib. Kambakudi Kulathur Srinivasa Iyer ~1922-23; 1975 film arrangement Devarajan/Yesudas under active copyright),no,no,no,no,no,en.wikipedia.org/wiki/Harivarasanam,REVIEW-recent: lyrical text ~1922-23 with identified individual authorship; 1975 film musical arrangement under active copyright; do not source lyrics until cleared,REVIEW-recent,,,
A035,Aarti Vishwakarma Ji Ki,Vishwakarma,vishwakarma,other,Aarti,Pan-India,3,Public domain (traditional; closing bhanita Gajanand Swami),yes,yes,yes,yes,no,bhaktibharat.com/aarti/shri-vishwakarma-ji-ki-aarti (2nd independent source not retrieved in this session),Jai Shri Vishwakarma Prabhu; 6 verses + closing; 1 source confirmed; 2nd source needed; CONFIRM WORDING lines 20 and 37,PD-clear,,,
A036,Jai Sadguru Swami (Swaminarayan Aarti),Swaminarayan,swaminarayan,saint-guru,Aarti,Gujarat,3,Public domain (Muktanand Swami composed 5 Nov 1802; died 1830),yes,yes,yes,yes,no,anirdesh.com/kirtan/index.php?part=1&no=154 + gujjuplanet.com (2-source cross-check),Gujarati original; Devanagari transliteration in original column; Gujarati script in original_true_script; 5 verses; line 2.1 variant nara-bhrata vs sukhadata noted,PD-clear,,,
A037,Hari Om Jai Shri Jag Taran (Nangli Tirath),Nangli Tirath (Meerut),nangli-sahib,saint-guru,Aarti,Meerut / North India,3,Verify (20th-c sect-specific; Paramhans Advait Mat lineage; Nangli Darbar Trust institutional presence),yes,yes,yes,yes,no,user-provided full text,"user-supplied; Nangli/Sahibchand tradition (colophon 'Sahibchand'); meanings our own; all 9 languages. CLEARED 5 Jul 2026 by Vivek: close personal ties to the Nangli Darbar Trust/temple organisation, content is non-commercial value-add for sangat use rather than a claim of ownership or direct sale, Vivek accepts responsibility for this item.",Cleared-authorized,,,
A038,Jai Ganesh Jai Ganesh Jai Ganesh Deva,Ganesha,ganesha,ganesha,Aarti,Pan-India,1,Public domain (traditional; bhanita Sur),yes,yes,yes,yes,no,drikpanchang + bhaktibharat (2-source cross-check),User-requested; meanings our own; line 4 tilak/sindur and line 7 phal/phul variants noted; optional Dinan ki laj verse not included,PD-clear,,,
