aarti_id,line_no,section,original,translit_roman,meaning_en,meaning_hi,meaning_mr,meaning_gu,meaning_pa,meaning_bn,meaning_ta,meaning_te,meaning_kn,meaning_ml,notes,original_true_script
C003,11,chaupai,किया उपद्रव तारक भारी। देवन सब मिलि तुमहिं जुहारी॥,"Kiya upadrava taraka bhari, devana saba mili tumahim juhari.",,,,,,,,,,,"Draft: original text only, sourced 2026-07-13; translation/transliteration pending. reviewed=no in chalisa_tracker.csv until checked against sung versions.",NA
C003,12,chaupai,तुरत षडानन आप पठायउ। लवनिमेष महँ मारि गिरायउ॥,"Turata shadanana apa pathayau, lavanimesha maha.n mari girayau.",,,,,,,,,,,"Draft: original text only, sourced 2026-07-13; translation/transliteration pending. reviewed=no in chalisa_tracker.csv until checked against sung versions.",NA
C003,13,chaupai,आप जलंधर असुर संहारा। सुयश तुम्हार विदित संसारा॥,"Apa jalamdhara asura samhara, suyasha tumhara vidita samsara.",,,,,,,,,,,"Draft: original text only, sourced 2026-07-13; translation/transliteration pending. reviewed=no in chalisa_tracker.csv until checked against sung versions.",NA
C003,14,chaupai,त्रिपुरासुर सन युद्ध मचाई। सबहि कृपा कर लीन बचाई॥,"Tripurasura sana yuddha machai, sabahi krripa kara lina bachai.",,,,,,,,,,,"Draft: original text only, sourced 2026-07-13; translation/transliteration pending. reviewed=no in chalisa_tracker.csv until checked against sung versions.",NA
C003,15,chaupai,किया तपहिं भागीरथ भारी। पुरब प्रतिज्ञा तासु पुरारी॥,"Kiya tapahim bhagiratha bhari, puraba pratij~na tasu Purari.",,,,,,,,,,,"Draft: original text only, sourced 2026-07-13; translation/transliteration pending. reviewed=no in chalisa_tracker.csv until checked against sung versions.",NA
C003,16,chaupai,दानिन महँ तुम सम कोउ नाहीं। सेवक स्तुति करत सदाहीं॥,"Danina maha.n tuma sama kou nahim, sevaka stuti karata sadahim.",,,,,,,,,,,"Draft: original text only, sourced 2026-07-13; translation/transliteration pending. reviewed=no in chalisa_tracker.csv until checked against sung versions.",NA
C003,17,chaupai,वेद नाम महिमा तव गाई। अकथ अनादि भेद नहिं पाई॥,"Veda nama mahima tava gai, akatha anadi bheda nahim pai.",,,,,,,,,,,"Draft: original text only, sourced 2026-07-13; translation/transliteration pending. reviewed=no in chalisa_tracker.csv until checked against sung versions.",NA
C003,18,chaupai,प्रगट उदधि मंथन में ज्वाला। जरत सुरासुर भए विहाला॥,"Pragata udadhi mamthana mem jvala, jarata surasura bhae vihala.",,,,,,,,,,,"Draft: original text only, sourced 2026-07-13; translation/transliteration pending. reviewed=no in chalisa_tracker.csv until checked against sung versions.",NA
C003,19,chaupai,कीन्ह दया तहँ करी सहाई। नीलकण्ठ तब नाम कहाई॥,"Kinha daya taha.n kari sahai, nilakantha taba nama kahai.",,,,,,,,,,,"Draft: original text only, sourced 2026-07-13; translation/transliteration pending. reviewed=no in chalisa_tracker.csv until checked against sung versions.",NA
C003,20,chaupai,पूजन रामचन्द्र जब कीन्हा। जीत के लंक विभीषण दीन्हा॥,"Pujana ramachandra jaba kinha, jita ke lamka vibhishana dinha.",,,,,,,,,,,"Draft: original text only, sourced 2026-07-13; translation/transliteration pending. reviewed=no in chalisa_tracker.csv until checked against sung versions.",NA
C003,21,chaupai,सहस कमल में हो रहे धारी। कीन्ह परीक्षा तबहिं पुरारी॥,"Sahasa kamala mem ho rahe dhari, kinha pariksha tabahim Purari.",,,,,,,,,,,"Draft: original text only, sourced 2026-07-13; translation/transliteration pending. reviewed=no in chalisa_tracker.csv until checked against sung versions.",NA
C003,22,chaupai,एक कमल प्रभु राखेउ जोई। कमल नयन पूजन चहँ सोई॥,"Eka kamala prabhu rakheu joi, kamala nayana pujana chaha.n soi.",,,,,,,,,,,"Draft: original text only, sourced 2026-07-13; translation/transliteration pending. reviewed=no in chalisa_tracker.csv until checked against sung versions.",NA
C003,23,chaupai,कठिन भक्ति देखि प्रभु शंकर। भए प्रसन्न दिए इच्छित वर॥,"Kathina bhakti dekhi prabhu shamkara, bhae prasanna die ichchita vara.",,,,,,,,,,,"Draft: original text only, sourced 2026-07-13; translation/transliteration pending. reviewed=no in chalisa_tracker.csv until checked against sung versions.",NA
C003,24,chaupai,जय जय जय अनंत अविनाशी। करत कृपा सबके घटवासी॥,"Jaya jaya jaya anamta avinashi, karata krripa sabake ghatavasi.",,,,,,,,,,,"Draft: original text only, sourced 2026-07-13; translation/transliteration pending. reviewed=no in chalisa_tracker.csv until checked against sung versions.",NA
C003,25,chaupai,दुष्ट सकल नित मोहि सतावै। भ्रमत रहौं मोहि चैन न आवै॥,"Dushta sakala nita mohi satavai, bhramata rahaum mohi chaina na avai.",,,,,,,,,,,"Draft: original text only, sourced 2026-07-13; translation/transliteration pending. reviewed=no in chalisa_tracker.csv until checked against sung versions.",NA
C003,26,chaupai,त्राहि त्राहि मैं नाथ पुकारो। यहि अवसर मोहि आन उबारो॥,"Trahi trahi maim natha pukaro, yahi avasara mohi ana ubaro.",,,,,,,,,,,"Draft: original text only, sourced 2026-07-13; translation/transliteration pending. reviewed=no in chalisa_tracker.csv until checked against sung versions.",NA
C003,27,chaupai,लै त्रिशूल शत्रुन को मारो। संकट ते मोहि आन उबारो॥,"Lai trishula shatruna ko maro, samkata te mohi ana ubaro.",,,,,,,,,,,"Draft: original text only, sourced 2026-07-13; translation/transliteration pending. reviewed=no in chalisa_tracker.csv until checked against sung versions.",NA
C003,28,chaupai,मातु पिता भ्राता सब कोई। संकट में पूछत नहिं कोई॥,"Matu pita bhrata saba koi, samkata mem puchata nahim koi.",,,,,,,,,,,"Draft: original text only, sourced 2026-07-13; translation/transliteration pending. reviewed=no in chalisa_tracker.csv until checked against sung versions.",NA
C003,29,chaupai,स्वामी एक है आस तुम्हारी। आय हरहु अब संकट भारी॥,"Svami eka hai asa tumhari, aya harahu aba samkata bhari.",,,,,,,,,,,"Draft: original text only, sourced 2026-07-13; translation/transliteration pending. reviewed=no in chalisa_tracker.csv until checked against sung versions.",NA
C003,30,chaupai,धन निर्धन को देत सदाहीं। जो कोई जाँचै सो फल पाहीं॥,"Dhana nirdhana ko deta sadahim, jo koi ja.nchai so phala pahim.",,,,,,,,,,,"Draft: original text only, sourced 2026-07-13; translation/transliteration pending. reviewed=no in chalisa_tracker.csv until checked against sung versions.",NA
C003,31,chaupai,अस्तुति केहि विधि करौं तुम्हारी। क्षमहु नाथ अब चूक हमारी॥,"Astuti kehi vidhi karaum tumhari, kshamahu natha aba chuka hamari.",,,,,,,,,,,"Draft: original text only, sourced 2026-07-13; translation/transliteration pending. reviewed=no in chalisa_tracker.csv until checked against sung versions.",NA
C003,32,chaupai,शंकर हो संकट के नाशन। विघ्न विनाशन मंगल कारन॥,"Shamkara ho samkata ke nashana, vighna vinashana mamgala karana.",,,,,,,,,,,"Draft: original text only, sourced 2026-07-13; translation/transliteration pending. reviewed=no in chalisa_tracker.csv until checked against sung versions.",NA
C003,33,chaupai,योगी यति मुनि ध्यान लगावैं। शारद नारद शीश नवावैं॥,"Yogi yati muni dhyana lagavaim, sharada narada shisha navavaim.",,,,,,,,,,,"Draft: original text only, sourced 2026-07-13; translation/transliteration pending. reviewed=no in chalisa_tracker.csv until checked against sung versions.",NA
C003,34,chaupai,नमो नमो जय नमः शिवाय। सुर ब्रह्मादिक पार न पाय॥,"Namo namo jaya namah shivaya, sura brahmadika para na paya.",,,,,,,,,,,"Draft: original text only, sourced 2026-07-13; translation/transliteration pending. reviewed=no in chalisa_tracker.csv until checked against sung versions.",NA
C003,35,chaupai,जो यह पाठ करे मन लाई। ता पर होत है शम्भु सहाई॥,"Jo yaha patha kare mana lai, ta para hota hai Shambhu sahai.",,,,,,,,,,,"Draft: original text only, sourced 2026-07-13; translation/transliteration pending. reviewed=no in chalisa_tracker.csv until checked against sung versions.",NA
C003,36,chaupai,ऋणिया जो कोई हो अधिकारी। पाठ करे सो पावन हारी॥,"Rriniya jo koi ho adhikari, patha kare so pavana hari.",,,,,,,,,,,"Draft: original text only, sourced 2026-07-13; translation/transliteration pending. reviewed=no in chalisa_tracker.csv until checked against sung versions.",NA
C003,37,chaupai,पुत्रहीन कर इच्छा कोई। निश्चय शिव प्रसाद तेहि होई॥,"Putrahina kara ichcha koi, nishchaya Shiva prasada tehi hoi.",,,,,,,,,,,"Draft: original text only, sourced 2026-07-13; translation/transliteration pending. reviewed=no in chalisa_tracker.csv until checked against sung versions.",NA
C003,38,chaupai,पण्डित त्रयोदशी को लावे। ध्यान पूर्वक होम करावे॥,"Pandita trayodashi ko lave, dhyana purvaka homa karave.",,,,,,,,,,,"Draft: original text only, sourced 2026-07-13; translation/transliteration pending. reviewed=no in chalisa_tracker.csv until checked against sung versions.",NA
C003,39,chaupai,त्रयोदशी व्रत करे हमेशा। तन नहीं ताके रहे कलेशा॥,"Trayodashi vrata kare hamesha, tana nahim take rahe kalesha.",,,,,,,,,,,"Draft: original text only, sourced 2026-07-13; translation/transliteration pending. reviewed=no in chalisa_tracker.csv until checked against sung versions.",NA
C003,40,chaupai,धूप दीप नैवेद्य चढ़ावे। शंकर सम्मुख पाठ सुनावे॥,"Dhupa dipa naivedya cha.dhave, shamkara sammukha patha sunave.",,,,,,,,,,,"Draft: original text only, sourced 2026-07-13; translation/transliteration pending. reviewed=no in chalisa_tracker.csv until checked against sung versions.",NA
C003,41,chaupai,जन्म जन्म के पाप नसावे। अन्तवास शिवपुर में पावे॥,"Janma janma ke papa nasave, antavasa shivapura mem pave.",,,,,,,,,,,"Draft: original text only, sourced 2026-07-13; translation/transliteration pending. reviewed=no in chalisa_tracker.csv until checked against sung versions.",NA
C003,42,chaupai,कहे अयोध्यादास आस तुम्हारी। जानि सकल दुःख हरहु हमारी॥,"Kahe ayodhyadasa asa tumhari, jani sakala duhkha harahu hamari.",,,,,,,,,,,"Draft: original text only, sourced 2026-07-13; translation/transliteration pending. reviewed=no in chalisa_tracker.csv until checked against sung versions.",NA
C003,43,doha,"नित्त नेम कर प्रातः ही, पाठ करौं चालीस। तुम मेरी मनोकामना, पूर्ण करो जगदीश॥","Nitta nema kara pratah hi, patha karaum chalisa, tuma meri manokamana, purna karo jagadisha.",,,,,,,,,,,"Draft: original text only, sourced 2026-07-13; translation/transliteration pending. reviewed=no in chalisa_tracker.csv until checked against sung versions.",NA
C003,44,doha,"मगसर छठि हेमन्त ऋतु, संवत चौसठ जान। अस्तुति चालीसा शिवहि, पूर्ण कीन कल्याण॥","Magasara chathi hemanta rritu, samvata chausatha jana, astuti chalisa shivahi, purna kina kalyana.",,,,,,,,,,,"Draft: original text only, sourced 2026-07-13; translation/transliteration pending. reviewed=no in chalisa_tracker.csv until checked against sung versions.",NA
C001,1,doha,"श्री गुरु चरन सरोज रज,निज मनु मुकुर सुधारि। बरनउं रघुबर विमल जसु,जो दायकु फल चारि॥","Shri guru charana saroja raja, nija manu mukura sudhari, baranaum raghubara vimala jasu, jo dayaku phala chari.",,,,,,,,,,,"Draft: original text only, sourced 2026-07-13; translation/transliteration pending. reviewed=no in chalisa_tracker.csv until checked against sung versions.",NA
C001,2,doha,"बुद्धिहीन तनु जानिकै,सुमिरौं पवन-कुमार। बल बुद्धि विद्या देहु मोहिं,हरहु कलेश विकार॥","Buddhihina tanu janikai, sumiraum pavana-kumara, bala buddhi vidya dehu mohim, harahu kalesha vikara.",,,,,,,,,,,"Draft: original text only, sourced 2026-07-13; translation/transliteration pending. reviewed=no in chalisa_tracker.csv until checked against sung versions.",NA
C001,3,chaupai,जय हनुमान ज्ञान गुण सागर।जय कपीस तिहुँ लोक उजागर॥,"Jaya hanumana j~nana guna sagara, jaya kapisa tihu.n loka ujagara.",,,,,,,,,,,"Draft: original text only, sourced 2026-07-13; translation/transliteration pending. reviewed=no in chalisa_tracker.csv until checked against sung versions.",NA
C001,4,chaupai,राम दूत अतुलित बल धामा।अंजनि-पुत्र पवनसुत नामा॥,"Rama duta atulita bala dhama, amjani-putra pavanasuta nama.",,,,,,,,,,,"Draft: original text only, sourced 2026-07-13; translation/transliteration pending. reviewed=no in chalisa_tracker.csv until checked against sung versions.",NA
C001,5,chaupai,महावीर विक्रम बजरंगी।कुमति निवार सुमति के संगी॥,"Mahavira vikrama bajaramgi, kumati nivara sumati ke samgi.",,,,,,,,,,,"Draft: original text only, sourced 2026-07-13; translation/transliteration pending. reviewed=no in chalisa_tracker.csv until checked against sung versions.",NA
C001,6,chaupai,कंचन बरन बिराज सुवेसा।कानन कुण्डल कुंचित केसा॥,"Kamchana barana biraja suvesa, kanana kundala kumchita kesa.",,,,,,,,,,,"Draft: original text only, sourced 2026-07-13; translation/transliteration pending. reviewed=no in chalisa_tracker.csv until checked against sung versions.",NA
C001,7,chaupai,हाथ वज्र औ ध्वजा बिराजै।काँधे मूँज जनेऊ साजै॥,"Hatha vajra au dhvaja birajai, ka.ndhe mu.nja janeu sajai.",,,,,,,,,,,"Draft: original text only, sourced 2026-07-13; translation/transliteration pending. reviewed=no in chalisa_tracker.csv until checked against sung versions.",NA
C001,8,chaupai,शंकर सुवन केसरीनन्दन।तेज प्रताप महा जग वन्दन॥,"Shamkara suvana kesarinandana, teja pratapa maha jaga vandana.",,,,,,,,,,,"Draft: original text only, sourced 2026-07-13; translation/transliteration pending. reviewed=no in chalisa_tracker.csv until checked against sung versions.",NA
C001,9,chaupai,विद्यावान गुणी अति चातुर।राम काज करिबे को आतुर॥,"Vidyavana guni ati chatura, rama kaja karibe ko atura.",,,,,,,,,,,"Draft: original text only, sourced 2026-07-13; translation/transliteration pending. reviewed=no in chalisa_tracker.csv until checked against sung versions.",NA
C001,10,chaupai,प्रभु चरित्र सुनिबे को रसिया।राम लखन सीता मन बसिया॥,"Prabhu charitra sunibe ko rasiya, rama lakhana Sita mana basiya.",,,,,,,,,,,"Draft: original text only, sourced 2026-07-13; translation/transliteration pending. reviewed=no in chalisa_tracker.csv until checked against sung versions.",NA
C001,11,chaupai,सूक्ष्म रुप धरि सियहिं दिखावा।विकट रुप धरि लंक जरावा॥,"Sukshma rupa dhari siyahim dikhava, vikata rupa dhari lamka jarava.",,,,,,,,,,,"Draft: original text only, sourced 2026-07-13; translation/transliteration pending. reviewed=no in chalisa_tracker.csv until checked against sung versions.",NA
C001,12,chaupai,भीम रुप धरि असुर संहारे।रामचन्द्र के काज संवारे॥,"Bhima rupa dhari asura samhare, ramachandra ke kaja samvare.",,,,,,,,,,,"Draft: original text only, sourced 2026-07-13; translation/transliteration pending. reviewed=no in chalisa_tracker.csv until checked against sung versions.",NA
C001,13,chaupai,लाय सजीवन लखन जियाये।श्रीरघुवीर हरषि उर लाये॥,"Laya sajivana lakhana jiyaye, shriraghuvira harashi ura laye.",,,,,,,,,,,"Draft: original text only, sourced 2026-07-13; translation/transliteration pending. reviewed=no in chalisa_tracker.csv until checked against sung versions.",NA
C001,14,chaupai,रघुपति कीन्ही बहुत बड़ाई।तुम मम प्रिय भरतहि सम भाई॥,"Raghupati kinhi bahuta ba.dai, tuma mama priya bharatahi sama bhai.",,,,,,,,,,,"Draft: original text only, sourced 2026-07-13; translation/transliteration pending. reviewed=no in chalisa_tracker.csv until checked against sung versions.",NA
C001,15,chaupai,सहस बदन तुम्हरो यश गावैं।अस कहि श्री पति कंठ लगावैं॥,"Sahasa badana tumharo yasha gavaim, asa kahi shri pati kamtha lagavaim.",,,,,,,,,,,"Draft: original text only, sourced 2026-07-13; translation/transliteration pending. reviewed=no in chalisa_tracker.csv until checked against sung versions.",NA
C001,16,chaupai,सनकादिक ब्रह्मादि मुनीसा।नारद सारद सहित अहीसा॥,"Sanakadika brahmadi munisa, narada sarada sahita ahisa.",,,,,,,,,,,"Draft: original text only, sourced 2026-07-13; translation/transliteration pending. reviewed=no in chalisa_tracker.csv until checked against sung versions.",NA
C001,17,chaupai,जम कुबेर दिकपाल जहां ते।कवि कोबिद कहि सके कहां ते॥,"Jama kubera dikapala jaham te, kavi kobida kahi sake kaham te.",,,,,,,,,,,"Draft: original text only, sourced 2026-07-13; translation/transliteration pending. reviewed=no in chalisa_tracker.csv until checked against sung versions.",NA
C001,18,chaupai,तुम उपकार सुग्रीवहिं कीन्हा।राम मिलाय राज पद दीन्हा॥,"Tuma upakara sugrivahim kinha, rama milaya raja pada dinha.",,,,,,,,,,,"Draft: original text only, sourced 2026-07-13; translation/transliteration pending. reviewed=no in chalisa_tracker.csv until checked against sung versions.",NA
C001,19,chaupai,तुम्हरो मन्त्र विभीषन माना।लंकेश्वर भये सब जग जाना॥,"Tumharo mantra vibhishana mana, lamkeshvara bhaye saba jaga jana.",,,,,,,,,,,"Draft: original text only, sourced 2026-07-13; translation/transliteration pending. reviewed=no in chalisa_tracker.csv until checked against sung versions.",NA
C001,20,chaupai,जुग सहस्र योजन पर भानू।लील्यो ताहि मधुर फ़ल जानू॥,"Juga sahasra yojana para bhanu, lilyo tahi madhura fala janu.",,,,,,,,,,,"Draft: original text only, sourced 2026-07-13; translation/transliteration pending. reviewed=no in chalisa_tracker.csv until checked against sung versions.",NA
C001,21,chaupai,प्रभु मुद्रिका मेलि मुख माहीं।जलधि लांघि गए अचरज नाहीं॥,"Prabhu mudrika meli mukha mahim, jaladhi lamghi gae acharaja nahim.",,,,,,,,,,,"Draft: original text only, sourced 2026-07-13; translation/transliteration pending. reviewed=no in chalisa_tracker.csv until checked against sung versions.",NA
C001,22,chaupai,दुर्गम काज जगत के जेते।सुगम अनुग्रह तुम्हरे तेते॥,"Durgama kaja jagata ke jete, sugama anugraha tumhare tete.",,,,,,,,,,,"Draft: original text only, sourced 2026-07-13; translation/transliteration pending. reviewed=no in chalisa_tracker.csv until checked against sung versions.",NA
C001,23,chaupai,राम दुआरे तुम रखवारे।होत न आज्ञा बिनु पैसारे॥,"Rama duare tuma rakhavare, hota na aj~na binu paisare.",,,,,,,,,,,"Draft: original text only, sourced 2026-07-13; translation/transliteration pending. reviewed=no in chalisa_tracker.csv until checked against sung versions.",NA
C001,24,chaupai,सब सुख लहै तुम्हारी सरना।तुम रक्षक काहू को डरना॥,"Saba sukha lahai tumhari sarana, tuma rakshaka kahu ko darana.",,,,,,,,,,,"Draft: original text only, sourced 2026-07-13; translation/transliteration pending. reviewed=no in chalisa_tracker.csv until checked against sung versions.",NA
C001,25,chaupai,आपन तेज सम्हारो आपै।तीनों लोक हांक तें कांपै॥,"Apana teja samharo apai, tinom loka hamka tem kampai.",,,,,,,,,,,"Draft: original text only, sourced 2026-07-13; translation/transliteration pending. reviewed=no in chalisa_tracker.csv until checked against sung versions.",NA
C001,26,chaupai,भूत पिशाच निकट नहिं आवै।महावीर जब नाम सुनावै॥,"Bhuta pishacha nikata nahim avai, mahavira jaba nama sunavai.",,,,,,,,,,,"Draft: original text only, sourced 2026-07-13; translation/transliteration pending. reviewed=no in chalisa_tracker.csv until checked against sung versions.",NA
C001,27,chaupai,नासै रोग हरै सब पीरा।जपत निरंतर हनुमत बीरा॥,"Nasai roga harai saba pira, japata niramtara hanumata bira.",,,,,,,,,,,"Draft: original text only, sourced 2026-07-13; translation/transliteration pending. reviewed=no in chalisa_tracker.csv until checked against sung versions.",NA
C001,28,chaupai,संकट ते हनुमान छुड़ावै।मन क्रम वचन ध्यान जो लावै॥,"Samkata te hanumana chu.davai, mana krama vachana dhyana jo lavai.",,,,,,,,,,,"Draft: original text only, sourced 2026-07-13; translation/transliteration pending. reviewed=no in chalisa_tracker.csv until checked against sung versions.",NA
C001,29,chaupai,सब पर राम तपस्वी राजा।तिन के काज सकल तुम साजा॥,"Saba para rama tapasvi raja, tina ke kaja sakala tuma saja.",,,,,,,,,,,"Draft: original text only, sourced 2026-07-13; translation/transliteration pending. reviewed=no in chalisa_tracker.csv until checked against sung versions.",NA
C001,30,chaupai,और मनोरथ जो कोई लावै।सोइ अमित जीवन फ़ल पावै॥,"Aura manoratha jo koi lavai, soi amita jivana fala pavai.",,,,,,,,,,,"Draft: original text only, sourced 2026-07-13; translation/transliteration pending. reviewed=no in chalisa_tracker.csv until checked against sung versions.",NA
C001,31,chaupai,चारों जुग परताप तुम्हारा।है परसिद्ध जगत उजियारा॥,"Charom juga paratapa tumhara, hai parasiddha jagata ujiyara.",,,,,,,,,,,"Draft: original text only, sourced 2026-07-13; translation/transliteration pending. reviewed=no in chalisa_tracker.csv until checked against sung versions.",NA
C001,32,chaupai,साधु सन्त के तुम रखवारे।असुर निकन्दन राम दुलारे॥,"Sadhu santa ke tuma rakhavare, asura nikandana rama dulare.",,,,,,,,,,,"Draft: original text only, sourced 2026-07-13; translation/transliteration pending. reviewed=no in chalisa_tracker.csv until checked against sung versions.",NA
C001,33,chaupai,अष्ट सिद्धि नवनिधि के दाता।अस बर दीन जानकी माता॥,"Ashta siddhi navanidhi ke data, asa bara dina janaki mata.",,,,,,,,,,,"Draft: original text only, sourced 2026-07-13; translation/transliteration pending. reviewed=no in chalisa_tracker.csv until checked against sung versions.",NA
C001,34,chaupai,राम रसायन तुम्हरे पासा।सदा रहो रघुपति के दासा॥,"Rama rasayana tumhare pasa, sada raho Raghupati ke dasa.",,,,,,,,,,,"Draft: original text only, sourced 2026-07-13; translation/transliteration pending. reviewed=no in chalisa_tracker.csv until checked against sung versions.",NA
C001,35,chaupai,तुम्हरे भजन राम को पावै।जनम जनम के दुख बिसरावै॥,"Tumhare bhajana rama ko pavai, janama janama ke dukha bisaravai.",,,,,,,,,,,"Draft: original text only, sourced 2026-07-13; translation/transliteration pending. reviewed=no in chalisa_tracker.csv until checked against sung versions.",NA
C001,36,chaupai,अन्तकाल रघुबर पुर जाई।जहाँ जन्म हरि-भक्त कहाई॥,"Antakala raghubara pura jai, jaha.n janma hari-bhakta kahai.",,,,,,,,,,,"Draft: original text only, sourced 2026-07-13; translation/transliteration pending. reviewed=no in chalisa_tracker.csv until checked against sung versions.",NA
C001,37,chaupai,और देवता चित्त न धरई।हनुमत सेई सर्व सुख करई॥,"Aura devata chitta na dharai, hanumata sei sarva sukha karai.",,,,,,,,,,,"Draft: original text only, sourced 2026-07-13; translation/transliteration pending. reviewed=no in chalisa_tracker.csv until checked against sung versions.",NA
C001,38,chaupai,संकट कटै मिटै सब पीरा।जो सुमिरै हनुमत बलबीरा॥,"Samkata katai mitai saba pira, jo sumirai hanumata balabira.",,,,,,,,,,,"Draft: original text only, sourced 2026-07-13; translation/transliteration pending. reviewed=no in chalisa_tracker.csv until checked against sung versions.",NA
C001,39,chaupai,जय जय जय हनुमान गोसाई।कृपा करहु गुरुदेव की नाई॥,"Jaya jaya jaya hanumana gosai, krripa karahu gurudeva ki nai.",,,,,,,,,,,"Draft: original text only, sourced 2026-07-13; translation/transliteration pending. reviewed=no in chalisa_tracker.csv until checked against sung versions.",NA
C001,40,chaupai,जो शत बार पाठ कर कोई।छूटहिं बंदि महा सुख होई॥,"Jo shata bara patha kara koi, chutahim bamdi maha sukha hoi.",,,,,,,,,,,"Draft: original text only, sourced 2026-07-13; translation/transliteration pending. reviewed=no in chalisa_tracker.csv until checked against sung versions.",NA
C001,41,chaupai,जो यह पढ़ै हनुमान चालीसा।होय सिद्धि साखी गौरीसा॥,"Jo yaha pa.dhai hanumana chalisa, hoya siddhi sakhi gaurisa.",,,,,,,,,,,"Draft: original text only, sourced 2026-07-13; translation/transliteration pending. reviewed=no in chalisa_tracker.csv until checked against sung versions.",NA
C001,42,chaupai,तुलसीदास सदा हरि चेरा।कीजै नाथ हृदय महँ डेरा॥,"Tulasidasa sada hari chera, kijai natha hrridaya maha.n dera.",,,,,,,,,,,"Draft: original text only, sourced 2026-07-13; translation/transliteration pending. reviewed=no in chalisa_tracker.csv until checked against sung versions.",NA
C001,43,doha,"पवनतनय संकट हरन,मंगल मूरति रुप। राम लखन सीता सहित,हृदय बसहु सुर भूप॥","Pavanatanaya samkata harana, mamgala murati rupa, rama lakhana Sita sahita, hrridaya basahu sura bhupa.",,,,,,,,,,,"Draft: original text only, sourced 2026-07-13; translation/transliteration pending. reviewed=no in chalisa_tracker.csv until checked against sung versions.",NA
C002,1,chaupai,नमो नमो दुर्गे सुख करनी।नमो नमो अम्बे दुःख हरनी॥,"Namo namo durge sukha karani, namo namo Ambe duhkha harani.",,,,,,,,,,,"Draft: original text only, sourced 2026-07-13; translation/transliteration pending. reviewed=no in chalisa_tracker.csv until checked against sung versions.",NA
